title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
Đèn Led trang trí 1M 2M 3M,2599936249,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Đèn Trang Trí,https://www.lazada.vn/products/pdp-i2599936249.html,3500,5.0,1,0,No Brand,2026-05-01 03:34:07
"Mô hình tượng đèn ngủ mini trang trí nhà búp bê, nhà mô hình, stellariva",3136900114,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Đèn Trang Trí,https://www.lazada.vn/products/pdp-i3136900114.html,3782,0.0,0,0,No Brand,2026-05-01 03:34:07
Dây đèn led đom đóm Fairy Light 3 chế độ sẵn pin trang trí Sinh Nhật Giáng Sinh Lễ Tết,740666359,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Đèn Trang Trí,https://www.lazada.vn/products/pdp-i740666359.html,3800,4.935897435897436,234,0,No Brand,2026-05-01 03:34:07
"Dây Đèn Led Đom Đóm Nhấp Nháy 3 Chế Độ Nhiều Màu Fairy Trang Trí Nhà Cửa, Tháp Bánh Kẹo, Hoa, Cây Cảnh, Hộp Quà Tết 2024",2639077826,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Đèn Trang Trí,https://www.lazada.vn/products/pdp-i2639077826.html,4043,5.0,9,0,No Brand,2026-05-01 03:34:07
"Đèn đom đóm, dây fairy 3m 30 bóng 3 chế độ sáng T08 - TMC Store - Tặng kèm pin",1828863426,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Đèn Trang Trí,https://www.lazada.vn/products/pdp-i1828863426.html,4200,4.942580164056674,1340,0,No Brand,2026-05-01 03:34:07
"Firefly Led String Lights with Built-In Batteries, 1m, 2m, 3m Long, for Birthday Decorations, Tet Decorations, Christmas Decorations, Flower Bouquets",3179931147,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Đèn Trang Trí,https://www.lazada.vn/products/pdp-i3179931147.html,4500,0.0,0,0,No Brand,2026-05-01 03:34:07
"ĐÈN LED LOẠI 2 MÉT ĐÙNG TRANG TRÍ ,BÓ HOA ,HỘP QUÀ ,HANMADE_HSTP",2019422677,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Đèn Trang Trí,https://www.lazada.vn/products/pdp-i2019422677.html,5000,5.0,4,0,No Brand,2026-05-01 03:34:07
"Dây đèn led trang trí fairylight đom đóm – trang trí hoa, giỏ quà -  có sẵn pin – độ dài 1m/2m/3m – làm đèn decor",2509985809,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Đèn Trang Trí,https://www.lazada.vn/products/pdp-i2509985809.html,6000,5.0,1,0,No Brand,2026-05-01 03:34:07
"Đèn led trang trí decor phòng ngủ, phụ kiện trang trí tết quán cafe có 3 chế độ nháy dài 1m2 đến 3m treo tường, quấn cây ngoài trời, hồ cá, ngoại thất có pin TODOCO",1579654307,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Đèn Trang Trí,https://www.lazada.vn/products/pdp-i1579654307.html,6000,4.842105263157895,95,0,No Brand,2026-05-01 03:34:07
"ĐÈN LED  ĐÙNG TRANG TRÍ ,BÓ HOA ,HỘP QUÀ ,HANMADE",2316184432,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Đèn Trang Trí,https://www.lazada.vn/products/pdp-i2316184432.html,6500,5.0,3,0,No Brand,2026-05-01 03:34:07
"(Chọn Màu) Đèn Led Xài Pin AA Dài 3 Mét 30 Bóng Đom Đóm Fairy Light Trang Trí Phòng, Quán Cafe, Quấn Cây",2074437173,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Đèn Trang Trí,https://www.lazada.vn/products/pdp-i2074437173.html,6500,5.0,2,0,not,2026-05-01 03:34:07
"Dây đèn led trang trí fairylight đom đóm nhiều màu sắc 1m - 2m - 3m Đèn đom đóm, dây fairy 3m 30 bóng 3 chế độ sáng - Tặng kèm pin",2361351817,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Đèn Trang Trí,https://www.lazada.vn/products/pdp-i2361351817.html,6700,0.0,0,0,No Brand,2026-05-01 03:34:07
"Mô hình tượng Đèn Led nhấp nháy, nhiều chế độ trang trí tiểu cảnh, decord nhà búp bê, DIY DOLL HOUSE, stellariva",3136903114,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Đèn Trang Trí,https://www.lazada.vn/products/pdp-i3136903114.html,6949,0.0,0,0,No Brand,2026-05-01 03:34:07
"Đèn led trang trí đèn đom đóm kèm sẵn pin dài 1 mét, 2 mét, 3 mét, làm hoa và đồ trang trí S0131",2298857868,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Đèn Trang Trí,https://www.lazada.vn/products/pdp-i2298857868.html,7500,4.966101694915254,59,0,No Brand,2026-05-01 03:34:07
"Đèn led đom đóm, đèn trang trí hộp quà, trang trí hoa, giỏ quà- màu vàng dài  2m",2812652384,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Đèn Trang Trí,https://www.lazada.vn/products/pdp-i2812652384.html,7500,5.0,1,0,No Brand,2026-05-01 03:34:07
>>>>>>> e029f966a8dd6ea3aab7ffd2842f6a3d3f8392c3
