title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
[COD] KOQZM Dễ thương chai Nước Gấu Shaker chai sữa trà uống cốc cầm tay uống chai nhà bếp sữa trà Chai nước nhà vài món quà giáng sinh,3275391985,lazada,Hàng Gia Dụng & Đời Sống,Bếp & Phòng Ăn,Đồ Dùng Uống Nước,https://www.lazada.vn/products/pdp-i3275391985.html,1817,0.0,0,0,KOQZM,2026-05-16 15:12:20
[COD] PkYeG 1pcs xách tay trà sữa uống chai nước giải khát chai nhựa cốc nước trong suốt trà Cà Phê chai nước giải khát chai,13384016235,lazada,Hàng Gia Dụng & Đời Sống,Bếp & Phòng Ăn,Đồ Dùng Uống Nước,https://www.lazada.vn/products/pdp-i13384016235.html,2984,0.0,0,0,PkYeG,2026-05-16 15:12:20
WHPHous 50 cái dùng một lần rõ ràng cốc nhựa ngoài trời dã ngoại sinh nhật nhà bếp bên Bộ đồ ăn bên ly nhựa cho đồ uống lạnh,3261804089,lazada,Hàng Gia Dụng & Đời Sống,Bếp & Phòng Ăn,Đồ Dùng Uống Nước,https://www.lazada.vn/products/pdp-i3261804089.html,7995,5.0,1,0,WHPHous,2026-05-16 15:12:20
1 vòi bình nước 20l,2416530905,lazada,Hàng Gia Dụng & Đời Sống,Bếp & Phòng Ăn,Đồ Dùng Uống Nước,https://www.lazada.vn/products/pdp-i2416530905.html,8000,5.0,1,0,No Brand,2026-05-16 15:12:20
CHENJ YADUN Ấm đun nước điện phụ kiện cơ sở nhiệt độ chuyển đổi kết nối,13392123739,lazada,Hàng Gia Dụng & Đời Sống,Bếp & Phòng Ăn,Đồ Dùng Uống Nước,https://www.lazada.vn/products/pdp-i13392123739.html,10172,0.0,0,0,CHENJ,2026-05-16 15:12:20
CHENJ YADUN 1 Piece DIY phụ kiện 10-13a 16A chuyển đổi Ấm đun nước điện nhiệt chuyển đổi hơi vừa bộ phận nhà bếp,13392129676,lazada,Hàng Gia Dụng & Đời Sống,Bếp & Phòng Ăn,Đồ Dùng Uống Nước,https://www.lazada.vn/products/pdp-i13392129676.html,10320,0.0,0,0,CHENJ,2026-05-16 15:12:20
JCSYFAC YINGRAN 2 cái 13A 16A điện ấm đun nước điện nhiệt chuyển đổi hơi nước phụ kiện nhà bếp,13393506395,lazada,Hàng Gia Dụng & Đời Sống,Bếp & Phòng Ăn,Đồ Dùng Uống Nước,https://www.lazada.vn/products/pdp-i13393506395.html,10368,0.0,0,0,JCSYFAC,2026-05-16 15:12:20
【SHZTGM】 15 cốc uống nước Mini trong suốt cái/bộ Đĩa Bộ đồ ăn thu nhỏ,13381721011,lazada,Hàng Gia Dụng & Đời Sống,Bếp & Phòng Ăn,Đồ Dùng Uống Nước,https://www.lazada.vn/products/pdp-i13381721011.html,10426,0.0,0,0,SHZTGM,2026-05-16 15:12:20
SDJZT YINGRAN 2 cái 13A 16A điện ấm đun nước điện nhiệt chuyển đổi hơi nước phụ kiện nhà bếp,13392147136,lazada,Hàng Gia Dụng & Đời Sống,Bếp & Phòng Ăn,Đồ Dùng Uống Nước,https://www.lazada.vn/products/pdp-i13392147136.html,10742,0.0,0,0,SDJZT,2026-05-16 15:12:20
GUOUqna 50 cái dùng một lần rõ ràng cốc nhựa ngoài trời dã ngoại sinh nhật nhà bếp bên Bộ đồ ăn bên ly nhựa cho đồ uống lạnh,3279885866,lazada,Hàng Gia Dụng & Đời Sống,Bếp & Phòng Ăn,Đồ Dùng Uống Nước,https://www.lazada.vn/products/pdp-i3279885866.html,11325,5.0,1,0,GUOUqna,2026-05-16 15:12:20
